Style,ABV,IBU,Color,BoilSize,BoilTime,BoilGravity,Efficiency,MashThickness,PrimaryTemp
American Stout,5.63,47.71,35.75,24.61,60,1.047,70.0,1.25,20.0
American Amber Ale,5.08,14.96,13.41,17.03,60,1.035,70.0,1.5,17.78
American Amber Ale,7.37,27.45,7.95,53.0,60,1.054,82.0,1.5,20.0
American Light Lager,5.24,15.7,5.48,2500.0,60,1.048,94.0,1.7,18.0
American Stout,6.57,37.8,45.96,28.39,60,1.05,70.0,1.5,20.0
American Stout,7.01,121.81,25.95,28.39,60,1.055,59.0,1.5,20.0
American Amber Ale,7.03,46.02,13.48,5.68,60,1.05,75.0,2.0,15.56
American Amber Ale,5.79,59.33,14.95,100.31,60,1.047,73.0,1.3,19.44
American Amber Ale,5.39,30.45,14.64,28.39,60,1.0390000000000001,75.0,1.5,15.56
American Amber Ale,5.73,38.38,9.13,45.42,75,1.053,80.0,1.0,18.33
American Amber Ale,4.54,33.63,14.73,26.5,60,1.0390000000000001,70.0,1.4,20.0
American Stout,5.69,37.56,35.58,24.61,60,1.057,75.0,1.5,18.33
American Brown Ale,8.11,67.95,20.56,28.39,60,1.056,70.0,1.5,20.0
American Amber Ale,5.06,29.51,17.34,31.0,60,1.04,69.5,3.65,20.0
American Brown Ale,5.31,34.84,26.03,26.5,60,1.0390000000000001,70.0,1.25,21.11
American Brown Ale,4.85,27.49,17.02,49.21,60,1.044,70.0,1.25,18.89
American Stout,7.61,16.76,32.87,45.42,60,1.063,80.0,2.0,20.0
American Amber Ale,6.59,94.88,21.64,24.61,60,1.05,70.0,1.5,21.11
American Light Lager,8.01,88.89,11.26,28.0,60,1.063,75.0,3.16,18.0
American Brown Ale,4.37,37.6,18.26,39.75,60,1.046,99.0,1.3,21.11
American Brown Ale,4.98,34.31,24.84,24.61,60,1.0390000000000001,58.0,1.5,20.0
American Brown Ale,5.23,62.8,25.22,24.61,90,1.046,65.0,2.0,21.11
American Brown Ale,6.33,32.87,23.78,49.21,60,1.052,65.0,1.5,17.78
American Amber Ale,4.68,36.09,13.36,28.39,60,1.036,75.0,1.25,18.89
American Amber Ale,7.43,45.1,17.22,28.5,60,1.0490000000000002,65.0,2.7,16.0
American Brown Ale,4.94,31.9,30.49,49.21,60,1.042,70.0,1.5,13.89
American Amber Ale,5.77,38.05,14.95,28.39,60,1.044,75.0,1.5,17.78
American Stout,4.54,52.59,37.95,31.0,90,1.034,70.0,3.0,20.0
American Stout,4.74,37.21,39.7,28.39,60,1.047,70.0,1.5,19.44
American Stout,6.36,94.52,50.0,5.68,90,1.044,60.0,1.5,20.0
American Amber Ale,6.03,40.23,14.35,24.61,60,1.046,70.0,1.25,20.0
American Light Lager,12.01,0.0,20.45,29.0,90,1.079,75.0,3.0,19.0
American Stout,6.72,56.28,41.9,28.39,60,1.046,70.0,1.25,20.0
American Stout,5.27,37.71,36.63,26.5,60,1.0390000000000001,70.0,1.3,18.33
American Brown Ale,6.2,29.03,21.81,51.48,90,1.045,65.0,1.5,18.89
American Stout,6.44,81.24,29.24,24.0,60,1.068,85.0,3.0,28.0
American Brown Ale,5.81,59.83,19.06,30.0,60,1.0390000000000001,68.0,3.1,19.0
American Amber Ale,5.04,21.27,7.61,27.25,90,1.036,75.0,1.25,14.44
American Brown Ale,6.67,36.77,24.9,68.0,60,1.054,80.0,2.5,20.0
American Brown Ale,4.62,57.97,14.26,28.39,60,1.036,70.0,1.5,20.0
American Stout,5.14,72.0,40.84,28.39,60,1.037,60.0,1.3,21.11
American Light Lager,5.26,14.1,2.48,24.61,60,1.037,73.0,1.5,12.78
American Amber Ale,5.89,45.1,16.12,32.18,90,1.043,75.0,1.5,20.0
American Amber Ale,4.72,37.46,13.84,22.71,60,1.043,70.0,1.25,20.0
American Stout,7.04,67.89,45.2,25.74,60,1.058,70.0,1.5,16.67
American Stout,5.06,33.07,40.0,28.39,90,1.047,60.0,1.5,20.0
American Amber Ale,6.69,51.52,7.46,24.61,60,1.053,75.0,1.44,18.33
American Amber Ale,5.65,29.13,14.58,56.78,90,1.043,80.0,1.5,15.56
American Amber Ale,6.45,30.2,16.62,25.0,90,1.046,54.0,2.7,22.0
American Amber Ale,4.36,38.78,13.67,18.0,60,1.034,63.0,3.35,18.0
American Stout,6.83,103.03,42.53,41.64,60,1.071,70.0,1.1,18.89
American Amber Ale,6.85,135.38,11.67,15.14,60,1.048,68.0,1.5,21.11
American Stout,5.62,22.66,36.69,28.39,60,1.0490000000000002,80.0,1.5,20.0
American Stout,4.58,31.48,37.8,24.61,65,1.037,55.0,1.5,23.89
American Amber Ale,6.47,34.44,12.23,1472.53,60,1.061,86.0,1.5,20.0
American Brown Ale,6.04,39.93,15.04,22.98,60,1.047,65.0,1.5,19.44
American Amber Ale,5.03,38.4,21.13,29.34,60,1.034,70.0,1.35,20.56
American Amber Ale,5.67,36.22,17.51,28.0,90,1.046,64.0,3.0,21.0
American Light Lager,25.35,0.0,11.73,26.0,60,1.162,60.0,3.0,20.0
American Amber Ale,6.65,25.4,20.83,28.39,60,1.047,70.0,1.25,20.0
American Brown Ale,5.7,29.99,24.61,45.42,60,1.045,70.0,1.33,18.33
American Amber Ale,5.31,34.76,11.36,46.0,60,1.036,67.0,40.0,20.0
American Stout,6.08,60.05,42.65,32.5,90,1.06,75.0,3.0,20.0
American Amber Ale,5.36,35.15,12.23,23.0,60,1.044,70.0,3.0,18.0
American Amber Ale,8.45,42.09,16.49,26.12,60,1.073,83.0,1.5,20.0
American Stout,6.01,60.94,35.87,26.5,60,1.042,75.0,1.5,12.78
American Brown Ale,9.64,38.6,27.65,28.39,60,1.065,80.0,20.0,20.0
American Stout,6.56,36.67,37.9,26.0,60,1.051,78.0,3.5,20.0
American Amber Ale,5.42,40.08,17.73,26.5,60,1.044,68.0,1.5,18.33
American Amber Ale,6.66,48.69,11.37,32.18,90,1.0390000000000001,70.0,1.35,16.67
American Light Lager,5.67,22.05,5.45,40.0,60,1.047,75.0,2.5,19.0
American Amber Ale,5.04,30.16,14.76,9.46,60,1.04,70.0,1.5,21.11
American Brown Ale,5.6,20.78,42.4,28.39,60,1.038,75.0,1.75,20.0
American Amber Ale,7.37,98.28,14.79,26.5,60,1.055,75.0,1.25,20.0
American Brown Ale,5.68,29.51,28.12,49.21,60,1.048,75.0,1.5,20.0
American Brown Ale,5.49,35.39,16.15,30.28,60,1.04,70.0,1.5,20.0
American Amber Ale,5.67,35.71,13.32,53.15,60,1.0490000000000002,73.0,1.1,19.44
American Brown Ale,4.96,20.49,25.34,68.0,60,1.03,70.0,4.0,21.0
American Amber Ale,5.89,50.67,13.68,27.5,60,1.04,63.5,5.0,22.0
American Amber Ale,5.05,20.97,8.95,27.44,60,1.04,80.0,1.5,17.78
American Brown Ale,5.12,43.72,18.91,24.61,60,1.043,70.0,1.25,20.0
American Stout,6.71,35.88,50.0,28.39,60,1.043,70.0,1.25,21.11
American Amber Ale,5.56,33.48,8.14,26.0,60,1.042,75.0,3.0,18.0
American Brown Ale,5.54,26.62,21.0,43.53,60,1.046,70.0,1.5,20.0
American Brown Ale,6.05,39.55,22.67,75.0,90,1.0490000000000002,70.0,3.0,20.0
American Amber Ale,6.44,55.4,12.18,5.68,60,1.043,70.0,1.5,21.11
American Stout,6.46,54.83,37.14,28.39,60,1.05,70.0,1.5,20.0
American Brown Ale,5.89,47.28,21.17,5.68,60,1.2,70.0,1.5,21.11
American Amber Ale,4.53,20.57,3.73,28.39,60,1.032,75.0,1.5,18.33
American Stout,5.42,44.49,36.47,28.39,60,1.04,72.0,1.5,21.11
American Amber Ale,5.36,48.88,14.26,26.0,30,1.047,70.0,3.5,18.0
American Stout,6.9,43.51,39.79,49.21,60,1.062,81.0,1.5,19.44
American Amber Ale,5.57,32.97,13.72,47.32,60,1.052,75.0,1.5,21.11
American Amber Ale,4.72,37.21,15.76,28.39,60,1.0390000000000001,75.0,1.5,21.11
American Brown Ale,5.81,23.36,29.72,22.71,60,1.0490000000000002,70.0,1.25,20.0
American Brown Ale,5.57,39.15,23.93,21.0,60,1.036,65.0,2.5,20.0
American Amber Ale,5.58,38.46,16.01,27.44,60,1.036,58.0,1.5,20.0
American Stout,5.99,65.2,39.31,26.0,60,1.048,75.0,3.4,21.0
American Brown Ale,7.07,0.0,26.18,24.61,60,1.05,75.0,1.25,21.11
American Amber Ale,6.09,44.19,8.03,23.0,60,1.046,75.0,3.3,20.0
American Brown Ale,5.89,25.13,26.05,45.42,60,1.046,70.0,1.5,21.11
American Brown Ale,4.9,22.34,16.99,27.0,60,1.046,75.0,2.5,20.0
American Amber Ale,5.3,30.21,18.78,25.0,60,1.04,71.0,2.7,19.0
American Stout,10.3,57.9,42.19,23.47,60,1.082,66.0,1.75,18.33
American Amber Ale,5.48,35.36,14.32,27.44,60,1.042,68.0,1.33,19.44
American Amber Ale,6.48,29.97,20.93,24.61,60,1.05,80.0,1.5,20.0
American Stout,4.84,0.0,42.28,13.25,60,1.037,85.0,1.5,21.67
American Brown Ale,5.14,26.18,22.53,40.0,60,1.038,70.0,3.5,21.0
American Amber Ale,5.45,26.09,19.72,22.71,60,1.053,72.0,1.5,18.33
American Amber Ale,5.81,35.01,14.45,124.92,60,1.054,75.0,1.5,22.22
American Brown Ale,5.21,33.18,20.34,16.1,60,1.034,70.0,3.0,20.0
American Light Lager,5.34,60.75,50.0,473.18,75,1.046,70.0,1.5,21.11
American Brown Ale,5.05,20.78,17.85,24.61,65,1.038,70.0,1.5,19.44
American Amber Ale,5.95,45.15,15.05,26.5,60,1.047,70.0,1.5,22.22
American Amber Ale,5.57,44.41,10.3,55.0,60,1.056,70.0,3.0,20.0
American Light Lager,4.6,13.29,2.53,30.28,60,1.034,80.0,1.5,10.0
American Brown Ale,5.84,49.59,25.63,32.0,90,1.044,76.0,3.0,20.0
American Brown Ale,5.84,36.17,26.4,28.39,60,1.0390000000000001,70.0,1.25,20.0
American Amber Ale,6.14,46.6,14.26,25.74,60,1.055,73.0,1.4,18.33
American Amber Ale,5.32,26.04,10.72,7.57,60,1.072,75.0,1.5,18.33
American Stout,6.35,0.0,37.71,26.5,60,1.051,70.0,1.5,22.22
American Amber Ale,6.23,42.63,15.83,36.0,60,1.034,60.0,3.0,20.0
American Brown Ale,5.76,23.08,21.47,13.25,60,1.042,70.0,1.5,18.33
American Amber Ale,6.02,34.23,9.75,105.0,60,1.053,69.0,2.8,22.0
American Amber Ale,6.99,65.65,14.39,22.71,60,1.0490000000000002,70.0,1.25,20.0
American Amber Ale,5.88,31.16,12.67,23.0,60,1.052,70.0,3.0,19.0
American Amber Ale,4.71,31.43,10.16,28.39,90,1.036,70.0,1.25,20.0
American Brown Ale,4.79,39.3,21.13,24.61,60,1.045,65.0,1.3,20.0
American Brown Ale,5.93,37.25,21.22,45.42,60,1.05,65.0,1.5,23.89
American Stout,6.3,60.63,43.83,30.28,60,1.053,76.0,1.65,18.89
American Amber Ale,4.5,30.24,7.56,30.0,60,1.037,75.0,3.0,21.0
American Amber Ale,6.51,45.52,13.47,28.39,90,1.048,70.0,1.5,20.0
American Amber Ale,5.34,50.22,13.68,28.39,60,1.046,75.0,1.5,26.67
American Brown Ale,4.47,36.14,24.09,28.39,90,1.031,70.0,1.25,20.0
American Amber Ale,5.93,31.8,16.19,49.21,75,1.047,75.0,1.25,20.0
American Brown Ale,5.67,24.67,23.03,40.0,90,1.085,70.0,3.0,20.0
American Light Lager,6.49,0.0,3.79,45.42,60,1.053,70.0,1.5,19.44
American Amber Ale,8.97,39.15,14.26,26.5,90,1.072,70.0,1.5,22.22
American Light Lager,4.31,37.04,11.78,850.0,65,1.042,80.0,2.5,17.0
American Amber Ale,5.19,30.97,12.04,30.0,60,1.036,70.0,2.75,17.0
American Stout,5.71,37.0,8.78,53.0,60,1.043,68.0,1.25,20.0
American Amber Ale,4.58,31.35,15.96,27.63,60,1.037,68.0,1.25,20.0
American Stout,7.31,63.49,38.81,26.5,60,1.064,75.0,1.33,20.0
American Stout,5.14,53.21,49.61,26.5,75,1.048,55.0,1.5,18.89
American Brown Ale,4.75,36.57,19.72,26.5,60,1.036,65.0,1.5,-17.78
American Amber Ale,5.59,35.68,14.96,28.39,60,1.04,70.0,1.25,20.0
American Amber Ale,5.76,40.44,11.99,26.5,60,1.043,59.0,1.5,21.11
American Amber Ale,5.16,31.47,13.65,24.0,60,1.044,68.0,2.5,20.0
American Light Lager,4.23,15.82,2.6,28.39,30,1.031,75.0,2.0,18.33
American Brown Ale,6.02,26.91,21.08,28.39,60,1.041,70.0,1.5,21.11
American Light Lager,4.13,12.01,2.93,11.0,60,1.043,60.0,3.0,22.0
American Amber Ale,5.9,41.93,10.41,26.5,90,1.043,75.0,2.0,21.11
American Stout,5.51,60.15,50.0,26.5,75,1.048,63.0,1.3,22.22
American Amber Ale,5.47,30.01,11.27,26.5,60,1.0390000000000001,67.0,1.5,20.56
American Amber Ale,6.13,22.89,11.54,28.39,60,1.046,75.0,1.5,21.11
American Stout,5.84,47.71,35.41,12.3,60,1.046,60.0,1.5,20.0
American Light Lager,8.7,0.0,4.11,26.5,30,1.074,70.0,1.5,20.0
American Brown Ale,6.18,35.29,24.2,28.39,60,1.048,70.0,1.5,20.0
American Brown Ale,7.23,33.8,15.24,26.5,60,1.052,80.0,1.5,21.67
American Brown Ale,5.04,29.93,20.2,18.93,90,1.045,65.0,1.33,21.11
American Stout,6.76,97.21,40.91,24.61,60,1.053,75.0,1.25,20.0
American Brown Ale,7.02,26.18,21.57,300.0,60,1.061,72.0,3.0,20.0
American Stout,6.69,27.65,40.53,25.55,60,1.05,70.0,1.8,18.33
American Brown Ale,6.99,55.75,21.8,53.0,60,1.053,70.0,1.5,20.0
American Amber Ale,4.96,31.23,16.2,27.63,60,1.035,71.0,1.25,20.0
American Brown Ale,6.13,31.28,30.61,19.0,60,1.038,65.0,2.5,20.0
American Amber Ale,5.95,32.4,6.27,26.5,90,1.042,70.0,1.25,19.44
American Stout,8.18,38.71,40.0,28.39,60,1.063,70.0,1.25,20.0
American Brown Ale,6.19,17.3,11.88,1030.0,60,1.057,81.0,3.2,19.0
American Stout,5.57,76.37,39.96,51.1,60,1.0390000000000001,65.0,1.5,26.67
American Amber Ale,5.87,36.57,13.73,28.39,60,1.041,70.0,1.0,20.0
American Stout,6.65,40.29,37.54,26.5,60,1.0590000000000002,75.0,1.75,18.89
American Amber Ale,4.93,26.63,18.07,49.21,90,1.045,70.0,1.5,21.11
American Brown Ale,7.08,43.87,26.58,45.0,60,1.061,60.0,3.0,19.0
American Amber Ale,5.67,28.27,13.99,28.39,60,1.045,72.0,1.4,20.0
American Amber Ale,8.88,44.3,16.48,18.93,90,1.045,70.0,1.5,20.0
American Amber Ale,6.34,76.21,14.61,28.39,90,1.056,70.0,1.5,20.0
American Stout,9.01,88.07,42.2,28.39,60,1.073,75.0,1.5,17.22
American Brown Ale,5.96,24.49,24.61,28.39,60,1.043,70.0,1.5,18.33
American Brown Ale,6.05,38.45,22.24,28.39,60,1.04,70.0,1.25,20.0
American Amber Ale,5.3,28.93,17.86,30.28,60,1.035,85.0,1.75,18.89
American Light Lager,7.58,0.0,5.87,28.39,60,1.054,70.0,1.5,17.78
American Brown Ale,4.59,32.41,23.33,16.0,60,1.036,60.0,3.0,18.0
American Amber Ale,4.87,28.56,14.76,28.96,90,1.033,65.0,1.5,18.89
American Amber Ale,7.03,39.11,18.24,70.0,60,1.055,70.0,3.8888,22.0
American Stout,5.7,78.36,48.09,15.14,60,1.042,65.0,1.25,17.78
American Stout,5.55,35.6,44.67,29.0,60,1.038,80.0,3.5,16.0
American Stout,5.48,88.76,50.0,25.0,90,1.047,70.0,3.0,19.0
American Stout,6.18,41.69,39.32,21.77,60,1.058,72.0,1.25,20.0
American Brown Ale,6.14,38.16,23.06,24.61,60,1.048,70.0,1.5,21.11
American Amber Ale,8.19,91.09,18.79,37.85,90,1.073,75.0,1.5,21.11
American Amber Ale,4.83,27.85,15.33,26.5,90,1.0390000000000001,74.0,1.5,15.56
American Stout,6.85,37.86,49.69,28.39,60,1.046,70.0,1.25,20.0
American Light Lager,3.1,6.74,1.99,24.61,90,1.024,75.0,2.0,17.22
American Stout,6.74,58.67,34.66,13.25,60,1.055,75.0,1.5,20.0
American Brown Ale,4.08,30.1,17.57,30.28,75,1.034,70.0,1.75,21.11
American Light Lager,6.36,90.05,18.08,28.39,60,1.0590000000000002,70.0,1.25,21.11
American Amber Ale,6.14,21.77,11.26,24.61,60,1.045,70.0,1.5,21.11
American Stout,7.0,69.56,43.19,28.39,60,1.053,64.0,1.5,17.22
American Amber Ale,5.7,61.56,12.91,28.5,60,1.0390000000000001,73.0,2.7,19.0
American Brown Ale,5.18,40.92,24.3,24.61,60,1.048,70.0,1.25,18.89
American Brown Ale,5.05,23.92,27.53,28.39,60,1.037,85.0,1.4,21.11
American Amber Ale,5.46,38.12,13.12,28.5,60,1.042,68.0,3.0,21.0
American Brown Ale,6.34,33.0,27.02,28.0,90,1.048,73.0,2.7,20.0
American Brown Ale,6.98,39.78,23.61,24.61,60,1.063,70.0,1.5,19.44
American Amber Ale,5.22,17.43,15.08,31.0,90,1.047,75.0,3.2,22.0
American Brown Ale,4.66,17.28,25.89,28.39,60,1.036,75.0,2.0,21.11
American Brown Ale,8.69,47.36,29.37,49.21,60,1.07,70.0,1.5,17.78
American Amber Ale,6.08,28.66,10.18,28.39,60,1.042,70.0,1.5,22.22
American Amber Ale,5.32,39.97,15.24,28.39,60,1.0390000000000001,70.0,1.25,20.0
American Stout,7.01,53.65,40.0,26.5,60,1.055,60.0,1.5,20.0
American Amber Ale,5.78,24.63,13.94,24.61,60,1.046,75.0,1.33,64.44
American Amber Ale,4.57,25.46,10.17,28.39,75,1.035,75.0,1.3,20.0
American Stout,5.08,76.66,50.0,28.39,60,1.0390000000000001,50.0,1.5,20.0
American Amber Ale,6.33,69.36,18.74,26.5,70,1.051,70.0,1.5,20.0
American Amber Ale,5.66,27.27,10.3,28.0,60,1.0390000000000001,85.0,3.0,20.0
American Amber Ale,5.04,46.74,12.28,25.74,60,1.042,70.0,1.25,21.11
American Brown Ale,5.18,18.33,24.96,20.0,60,1.045,72.0,3.0,16.0
American Brown Ale,5.75,39.37,23.43,49.21,60,1.047,70.0,1.5,20.0
American Amber Ale,4.6,30.81,9.06,9.46,60,1.101,70.0,1.5,22.22
American Brown Ale,6.08,30.53,24.46,18.93,60,1.062,75.0,1.5,23.89
American Amber Ale,5.11,38.96,16.77,26.5,60,1.043,60.0,1.5,20.0
American Amber Ale,5.15,38.08,11.24,23.96,60,1.041,70.0,1.5,18.33
American Amber Ale,5.21,26.78,15.99,28.39,60,1.074,73.0,1.25,17.78
American Brown Ale,7.19,0.0,30.31,4.73,45,1.0590000000000002,55.0,1.5,20.0
American Light Lager,6.62,65.67,3.15,1150.0,60,1.058,80.0,2.5,18.0
American Amber Ale,5.79,34.55,11.24,25.0,75,1.046,84.0,3.0,22.0
American Stout,8.17,66.68,46.17,26.5,60,1.06,70.0,1.25,20.0
American Amber Ale,5.79,46.99,15.89,20.82,60,1.058,75.0,1.35,18.33
American Light Lager,4.44,15.98,3.82,30.28,60,1.033,68.0,1.3,18.89
American Brown Ale,4.36,42.82,18.47,28.39,60,1.034,65.0,1.5,22.22
American Amber Ale,4.71,18.01,11.51,28.39,60,1.035,73.0,1.25,21.67
American Amber Ale,5.81,36.36,10.71,1150.0,60,1.05,90.0,3.0,20.0
American Amber Ale,5.5,34.13,13.01,26.5,60,1.045,70.0,1.25,20.0
American Stout,5.71,59.0,43.86,36.0,90,1.036,78.0,3.0,18.0
American Brown Ale,6.88,52.1,25.78,28.39,60,1.051,67.0,1.5,18.89
American Stout,8.09,46.57,48.01,28.39,60,1.064,70.0,1.5,20.56
American Brown Ale,4.74,34.02,18.95,25.55,60,1.041,72.0,1.5,20.0
American Amber Ale,5.5,45.69,13.27,75.0,60,1.042,80.0,3.0,18.0
American Amber Ale,6.96,86.97,20.32,28.39,60,1.054,70.0,1.25,20.0
American Amber Ale,5.5,26.79,11.63,28.39,60,1.0390000000000001,70.0,1.5,20.0
American Light Lager,4.73,14.69,2.33,22.71,60,1.038,70.0,1.5,18.33
American Amber Ale,4.76,26.21,10.82,49.74,60,1.037,60.0,1.5,16.67
American Light Lager,5.74,69.66,11.08,7.57,60,1.0270000000000001,65.0,1.5,20.0
American Stout,6.83,35.17,30.17,26.5,60,1.043,73.0,2.4,21.11
American Stout,6.04,39.13,7.89,28.39,60,1.053,75.0,1.5,20.56
American Amber Ale,5.75,25.3,10.06,25.5,60,1.043,65.0,2.2,21.0
American Light Lager,4.15,8.23,2.81,28.39,60,1.033,70.0,1.5,11.11
American Amber Ale,6.6,39.33,16.87,28.39,90,1.047,72.0,1.75,18.33
American Brown Ale,4.91,31.99,19.51,23.47,60,1.04,68.0,1.33,18.33
American Amber Ale,5.72,31.03,13.14,28.39,60,1.044,70.0,1.5,22.78
American Stout,6.54,53.19,39.65,26.5,60,1.0490000000000002,70.0,1.5,21.11
American Light Lager,5.08,0.0,3.26,28.5,60,1.064,91.0,3.0,18.0
American Brown Ale,6.68,37.3,25.58,28.39,60,1.048,70.0,1.5,21.67
American Light Lager,6.28,115.01,6.05,32.0,60,1.044,70.0,3.0,18.0
American Amber Ale,5.05,31.05,13.01,27.0,60,1.041,67.0,2.5,18.0
American Amber Ale,6.04,36.04,11.03,28.39,60,1.044,65.0,1.25,16.67
American Brown Ale,5.64,23.93,22.37,28.39,60,1.041,70.0,1.5,20.0
American Brown Ale,5.11,28.17,23.64,28.39,60,1.041,70.0,1.5,20.0
American Stout,7.09,64.2,37.33,28.39,90,1.0490000000000002,80.0,1.5,20.0
American Brown Ale,5.24,25.83,28.28,27.44,60,1.045,70.0,1.5,15.56
American Amber Ale,4.37,29.25,13.82,28.39,60,1.032,78.0,1.36,18.33
American Brown Ale,5.25,30.47,29.83,28.39,60,1.0390000000000001,66.0,1.5,21.11
American Amber Ale,6.0,35.76,13.88,1400.0,90,1.05,75.0,3.0,19.0
American Stout,6.14,51.14,40.0,26.0,90,1.052,75.0,2.5,19.0
American Amber Ale,4.69,37.21,15.41,28.39,60,1.038,75.0,1.5,20.0
American Brown Ale,8.46,50.21,15.0,24.61,60,1.06,72.0,1.5,22.22
American Light Lager,6.06,0.0,4.67,37.85,90,1.0490000000000002,70.0,1.5,20.0
American Amber Ale,5.38,21.43,13.16,53.0,60,1.043,80.0,1.4,18.89
American Brown Ale,4.5,31.43,24.99,28.39,60,1.033,70.0,1.5,21.11
American Amber Ale,5.44,40.2,15.23,49.21,60,1.043,75.0,1.25,20.0
American Brown Ale,5.4,38.89,26.32,28.39,90,1.044,71.0,1.5,17.78
American Amber Ale,6.09,30.3,14.68,6.0,60,1.048,65.0,3.5,15.0
American Amber Ale,6.03,35.22,16.18,25.0,90,1.0590000000000002,70.0,5.0,23.0
American Brown Ale,5.81,43.32,22.57,26.0,40,1.044,70.0,3.0,20.0
American Amber Ale,5.92,51.94,18.33,24.61,60,1.045,70.0,1.5,19.44
American Brown Ale,4.7,34.62,23.0,30.28,60,1.042,75.0,1.33,15.56
American Stout,4.49,34.42,48.07,130.0,60,1.042,70.0,3.0,16.0
American Amber Ale,5.76,51.7,22.44,45.0,60,1.0490000000000002,70.0,2.5,18.0
American Brown Ale,6.22,35.04,37.32,28.39,60,1.0490000000000002,70.0,1.5,22.22
American Light Lager,4.02,5.68,4.06,20.0,60,1.045,70.0,3.0,18.0
American Stout,4.58,95.38,50.0,22.71,80,1.0390000000000001,50.0,1.5,21.11
American Amber Ale,5.33,34.99,15.15,24.61,60,1.045,85.0,1.5,18.33
American Stout,5.14,29.68,50.0,32.18,60,1.036,23.0,1.5,19.44
American Stout,4.63,56.61,45.49,18.93,60,1.0270000000000001,35.0,1.5,20.0
American Light Lager,6.11,36.53,7.55,416.4,60,1.073,80.0,1.25,20.0
American Stout,7.02,69.12,40.0,28.39,60,1.052,75.0,1.25,20.0
American Amber Ale,7.71,84.84,19.02,29.53,90,1.054,64.0,1.5,16.67
American Brown Ale,7.61,37.66,20.33,26.5,60,1.055,80.0,1.25,20.0
American Amber Ale,7.03,19.62,18.26,11.36,60,1.073,25.0,1.5,21.11
American Stout,6.3,29.43,50.0,27.25,60,1.0490000000000002,70.0,1.25,21.11
American Light Lager,5.08,19.84,13.58,73.82,60,1.048,70.0,1.5,18.89
American Amber Ale,5.22,25.56,13.52,23.47,90,1.047,63.0,1.6,19.44
American Amber Ale,6.04,24.85,15.38,26.5,120,1.047,72.0,1.25,16.67
American Brown Ale,7.33,39.21,22.49,30.28,75,1.055,75.0,1.5,18.33
American Brown Ale,4.93,31.84,20.46,22.71,60,1.043,70.0,1.5,18.33
American Brown Ale,5.08,48.64,22.04,28.39,60,1.0390000000000001,75.0,1.25,21.11
American Brown Ale,5.69,40.78,20.45,28.39,60,1.047,73.0,1.96,19.0
American Amber Ale,5.58,38.59,13.87,22.5,60,1.047,67.0,4.0,20.0
American Amber Ale,5.2,34.55,15.48,26.5,60,1.043,70.0,1.33,18.33
American Stout,5.41,51.44,43.52,28.39,60,1.042,60.0,1.5,18.33
American Stout,6.49,51.78,39.91,26.5,90,1.056,68.0,1.4,18.89
American Amber Ale,5.73,35.62,11.26,27.44,60,1.0390000000000001,63.0,1.5,21.11
American Stout,4.0,25.7,35.75,28.39,60,1.041,75.0,1.5,21.11
American Amber Ale,6.25,59.54,13.53,53.0,60,1.053,70.0,1.33,20.0
American Amber Ale,8.02,47.06,15.34,26.5,60,1.055,80.0,1.25,19.44
American Amber Ale,5.95,39.78,13.06,94.5,60,1.056,77.0,2.5,18.0
American Amber Ale,5.82,37.48,14.65,30.0,90,1.048,79.0,4.0,18.0
American Amber Ale,5.43,71.42,15.14,15.0,60,1.05,74.0,2.0,20.0
American Amber Ale,5.16,46.74,12.35,28.39,90,1.038,70.0,1.25,20.0
American Amber Ale,5.76,54.99,18.46,45.42,60,1.0490000000000002,68.0,1.5,20.0
American Amber Ale,5.61,32.66,17.82,54.89,60,1.038,75.0,1.35,20.0
American Stout,6.31,37.59,30.88,35.0,60,1.051,70.0,3.0,20.0
American Brown Ale,6.76,46.01,20.38,28.39,60,1.046,75.0,1.2,20.0
American Amber Ale,6.01,94.42,39.22,28.39,60,1.046,70.0,1.5,21.11
American Stout,5.25,81.17,34.44,24.61,60,1.044,74.0,1.05,21.11
American Amber Ale,5.19,29.3,18.37,22.71,60,1.042,70.0,1.5,21.11
American Brown Ale,5.82,78.42,18.71,28.39,60,1.042,70.0,1.5,21.11
American Stout,5.26,35.9,37.82,28.39,60,1.036,70.0,1.25,21.11
American Amber Ale,6.7,35.38,23.33,25.0,90,1.062,75.0,2.77,23.0
American Stout,5.73,90.52,40.0,18.93,60,1.032,70.0,1.25,21.11
American Stout,6.68,37.77,42.69,28.39,60,1.045,70.0,1.5,20.0
American Amber Ale,5.06,26.15,10.32,24.61,60,1.044,65.0,1.5,18.33
American Amber Ale,6.52,24.16,21.88,28.39,60,1.048,70.0,1.33,17.22
American Brown Ale,6.58,17.26,29.16,28.39,60,1.0490000000000002,82.0,1.5,20.0
American Amber Ale,5.2,28.15,12.82,29.5,60,1.044,75.0,2.9,20.0
American Amber Ale,5.94,36.12,15.72,28.5,60,1.041,70.0,3.0,20.0
American Amber Ale,4.93,31.07,14.4,45.42,60,1.044,65.0,1.5,20.0
American Amber Ale,6.14,118.13,5.04,26.88,60,1.04,70.0,1.5,20.0
American Brown Ale,5.63,35.88,27.67,151.42,60,1.054,80.0,1.5,18.33
American Amber Ale,5.79,36.01,13.05,24.61,60,1.044,70.0,1.5,18.33
American Amber Ale,7.88,99.24,9.74,15.14,90,1.055,70.0,1.5,20.0
